species_name,phylo_clade,phylo_sub_clade,date,papillate,proliferation,caduceus,chlamydospores,hyphal_swelling,oospores,ho_he_s,oospore_wall_index,gr_at_opt,temp_min,temp_opt
Phytophthora cactorum,1,1a,1886,P,NP,C,CH,NHS,O,HO,0.36,#N/A,2,24
Phytophthora clandestina,1,1b,1985,P,NP,C,NCH,HS,O,HO,0.32,1.5,5,23
Phytophthora hedraiandra,1,1a,2004,P,NP,C,NCH,HS,O,HO,0.39,5.3,3,22
Phytophthora idaei,1,1a,1995,P,NP,NC,NCH,NHS,O,HO,0.25,#N/A,5,21
Phytophthora infestans,1,1c,1876,SP,NP,C,NCH,NHS,O,HE,0.24,#N/A,4,19
Phytophthora ipomoeae,1,1c,2002,SP,NP,C,NCH,NHS,O,HO,0.29,10,11,21
Phytophthora iranica,1,1b,1971,P,NP,NC,CH,HS,O,HO,0.46,#N/A,10,27.5
Phytophthora mirabilis,1,1c,1985,SP,NP,C,NCH,NHS,O,HE,0.26,#N/A,#N/A,19
Phytophthora nicotianae,1,1,1896,P,NP,NC,CH,HS,O,HE,0.33,6,5,29.5
Phytophthora phaseoli,1,1c,1889,SP,NP,C,NCH,NHS,O,HO,0.28,#N/A,5,17.5
Phytophthora pseudotsugae,1,1a,1983,P,NP,NC,NCH,HS,O,HO,0.27,#N/A,2,21
Phytophthora tentaculata,1,1b,1993,P,NP,C,CH,HS,O,HO,0.27,4,7,22
Phytophthora x andina,1,1c,2010,SP,NP,C,NCH,NHS,O,HE,0.18,9,5,22
Phytophthora x pelgrandis,1,1a,2009,P,NP,NC,NCH,NHS,O,HO,0.21,7,7.5,27
Phytophthora x serendipita,1,1a,2012,P,NP,C,NCH,NHS,O,HO,0.32,5,7.5,27
Phytophthora 'acacia',2,2d,NA,SP,P,NC,NCH,NHS,O,HE,0.34,10,4,25
Phytophthora 'aquatilis',2,2e,2012,SP,NP,C,NCH,NHS,O,HO,0.33,6.8,5,20
Phytophthora 'emanzi',2,2c,2010,SP,NP,NC,NCH,NHS,O,HO,0.4,5,7.5,20
Phytophthora 'mekongensis',2,2a,2017,P,NP,C,NCH,NHS,NO,S,NA,8,8,26
Phytophthora acerina,2,2c,2014,SP,NP,NC,NCH,HS,O,HO,0.38,8,7.5,25
Phytophthora amaranthi,2,2b,2016,P,NP,C,NCH,NHS,O,HO,0.26,6.1,8,24
Phytophthora bishii,2,2d,2008,SP,P,NC,NCH,HS,O,HO,0.39,3,10,23
Phytophthora botryosa,2,2a,1969,P,NP,C,CH,NHS,O,HE,0.28,#N/A,9,26
Phytophthora capensis,2,2c,2010,SP,NP,NC,NCH,NHS,O,HO,0.56,7.8,7.5,22.5
Phytophthora capsici,2,2b,1922,P,NP,C,CH,HS,O,HE,0.54,#N/A,6,30
Phytophthora caryae,2,2c,2016,SP,NP,NC,NCH,HS,O,HO,0.29,7.6,7.5,25
Phytophthora citricola,2,2c,1927,SP,NP,NC,NCH,NHS,O,HO,0.36,6,7.5,25
Phytophthora citrophthora,2,2a,1925,P,NP,NC,CH,HS,O,HE,0.38,7.5,4,27
Phytophthora colocasiae,2,2a,1900,SP,NP,C,CH,HS,O,HE,0.28,#N/A,10,27
Phytophthora elongata,2,2d,2010,SP,P,NC,NCH,HS,O,HO,0.42,6,5,23
Phytophthora frigida,2,2d,2007,P,NP,C,CH,HS,O,HE,0.32,8,7.5,27.5
Phytophthora glovera,2,2b,2011,P,NP,NC,NCH,NHS,O,HO,0.7,5,13,25
Phytophthora himalsilva,2,2a,2011,P,NP,C,NCH,NHS,O,HO,0.65,7,#N/A,23
Phytophthora meadii,2,2a,1918,SP,NP,C,CH,NHS,O,HO,0.7,#N/A,6,27.5
Phytophthora mengei,2,2b,2009,SP,NP,NC,NCH,NHS,O,HO,0.51,7.5,8,25
