country,spname,year,source,Introduction_code,iso3c,Reference,
Afghanistan,Phytophthora palmivora,1996,CAB Abstracts,NA,AFG,"Distribution Maps of Plant Diseases, 1996, December (Edition 1), pp Map 725",
Alaska,Phytophthora borealis,NA,Index fungorum: http://www.indexfungorum.org,NA,USA,"Index Fungorum Partnership (2018), http://www.indexfungorum.org/names/indexfungorumpartnership.htm",
Albania,Phytophthora nicotianae,2013,CAB Abstracts,NA,ALB,"Mammella, M. A.; Martin, F. N.; Cacciola, S. O.; Coffey, M. D.; Faedda, R.; Schena, L. 2013 Analyses of the population structure in a global collection of Phytophthora nicotianae isolates inferred from mitochondrial and nuclear DNA sequences. Phytopathology 103 610-622",
Albania,Phytophthora capsici,2018,CAB Abstracts,NA,ALB,"Cara, M.; Yaseen, T.; Merkuri, J. 2018 First report of phytophthora blight of cucurbit caused by Phytophthora capsici in Albania. Plant Disease 102 253",
Algeria,Phytophthora infestans,2010,CAB Abstracts,NA,DZA,"Galfout, A.; Kedad, A.; Corbiere, R.; Bouznad, Z. 2010 Occurrence of late blight in Algeria during 2009 and evaluation of potato cultivars for resistance to Phytophthora infestans [Conference poster]. Proceedings of the Twelfth EuroBlight Workshop, Arras, France, 3-6 May 2010 NA 291-296",
Algeria,Phytophthora infestans,2013,CAB Abstracts,NA,DZA,"Harbaoui, K.; Lee, T. van der; Vleeshouwers, V. G. A. A.; Khammassy, N.; Harrabi, M.; Hamada, W. 2013 Characterisation of Phytophthora infestans isolates collected from potato and tomato crops in Tunisia during 2006-2008. Potato Research 56 Nov-29",
Algeria,Phytophthora citrophthora,1984,CAB Abstracts,NA,DZA,"Distribution Maps of Plant Diseases, 1995, January (Edition 6), pp Map 35",
Algeria,Phytophthora capsici,2015,CAB Abstracts,NA,DZA,"Messaouda, B.; Abdelhadi, G.; Samia, M. A. 2015 Susceptibility of Algerian pepper cultivars (Capsicum annuum L) to Phytophthora capsici strains from different geographic areas. African Journal of Biotechnology 14 3011-3018",
Algeria,Phytophthora citrophthora,1995,CAB Abstracts,NA,DZA,"Distribution Maps of Plant Diseases, 1995, January (Edition 6), pp Map 35",
Algeria,Phytophthora infestans,NA,"CABI, 2018. Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabi.org/isc/datasheet/40970",Present,DZA,"CABI, 2018. Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabi.org/isc/datasheet/40970",
Algeria,Phytophthora infestans,2017,CAB Abstracts,NA,DZA,"Rekad, F. Z.; Cooke, D. E. L.; Puglisi, I.; Randall, E.; Guenaoui, Y.; Bouznad, Z.; Evoli, M.; Pane, A.; Schena, L.; San Lio, G. M. di; Cacciola, S. O. 2017 Characterization of Phytophthora infestans populations in northwestern Algeria during 2008-2014. Fungal Biology 121 467-477",
Algeria,Phytophthora infestans,2015,CAB Abstracts,NA,DZA,"Corbiere, R.; Beninal, L.; Belkhiter, S.; Mabon, R.; Mariette, N.; Andrivon, D.; Bouznad, Z. 2015 Do the Algerian Phytophthora infestans populations show genotypic structuration on potato and tomato? [Conference poster]. Proceedings of the Fifteenth EuroBlight Workshop, Brasov, Romania, 13-15 May 2015 NA 155-167",
Algeria,Phytophthora infestans,2012,CAB Abstracts,NA,DZA,"Mezaache-Aichour, S.; Sayah, N.; Zerroug, M. M.; Haichour, N.; Guechi, A. 2012 The receptivity of soils in the southern region of Setif to Phytophthora infestans and Fusarium solani var. coeruleum. 10e Conférence Internationale sur les Maladies des Plantes, Tours, France, 3, 4 &amp; 5 Décembre, 2012 NA 234-240",
Algeria,Phytophthora drechsleri,1991,CAB Abstracts,NA,DZA, 1991 Phytophthora drechsleri. [Distribution map]. Distribution Maps of Plant Diseases NA Map 281,
Algeria,Phytophthora infestans,2010,CAB Abstracts,NA,DZA,"Corbiere, R.; Rekad, F. Z.; Galfout, A.; Andrivon, D.; Bouznad, Z. 2010 Phenotypic and genotypic characteristics of Algerian isolates of Phytophthora infestans. Proceedings of the Twelfth EuroBlight Workshop, Arras, France, 3-6 May 2010 NA 133-146",
Algeria,Phytophthora infestans,1982,CAB Abstracts,NA,DZA, 1982 Phytophthora infestans. [Distribution map]. Distribution Maps of Plant Diseases NA Map 109,
Algeria,Phytophthora ramorum,2003,EPPO GD,Absence NA,DZA,EPPO Reporting Service No. 09  Situation of Phytophthora ramorum in EPPO countries,
Algeria,Phytophthora citrophthora,1964,CAB Abstracts,NA,DZA,"Waterhouse, G. M.; Waterston, J. M. 1964 Phytophthora citrophthora. [Descriptions of Fungi and Bacteria]. IMI Descriptions of Fungi and Bacteria NA Sheet 33",
Algeria,Phytophthora infestans,2009,CAB Abstracts,NA,DZA,"Beninal, L.; Corbiere, R.; Kedad, A.; Andrivon, D.; Bouznad, Z. 2009 A2 mating type, metalaxyl resistance and complex virulence profiles: common features in some Phytophthora infestans isolates from Algeria [Conference poster]. Proceedings of the Eleventh EuroBlight Workshop, Hamar, Norway, 28-31 October 2008 NA 237-242",
Algeria,Phytophthora infestans,2016,CAB Abstracts,NA,DZA,"Mariette, N.; Androdias, A.; Mabon, R.; Corbière, R.; Marquer, B.; Montarry, J.; Andrivon, D. 2016 Local adaptation to temperature in populations and clonal lineages of the Irish potato famine pathogen Phytophthora infestans. Ecology and Evolution 6 6320-6331",
Algeria,Phytophthora drechsleri,1991,EPPO GD,"Present, no details",DZA,EPPO. (2018). EPPO global database. https://gd.eppo.int/,
Algeria,Phytophthora infestans,2014,CAB Abstracts,NA,DZA,"Belkhiter, S.; Bouznad, Z.; Kedad, A.; Andrivon, D.; Corbiere, R. 2014 Assessing the resistance of potato cultivar Sarpo Mira to Algerian isolates of Phytophthora infestans [Conference poster]. Proceedings of the Fourteenth EuroBlight Workshop, Limassol, Cyprus, 12-15 May 2013 NA 297-298",
American Samoa,Phytophthora infestans,NA,"CABI, 2018. Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabi.org/isc/datasheet/40970",Present,ASM,"CABI, 2018. Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabi.org/isc/datasheet/40970",
American Samoa,Phytophthora colocasiae,1993,EPPO GD,"Present, restricted distribution",ASM, South Pacific Commission (1993) Taro blight in Western Samoa and American Samoa. Agricultural Alert No. 10.,
American Samoa,Phytophthora colocasiae,1997,CAB Abstracts,NA,ASM, 1997 Phytophthora colocasiae. [Distribution map]. Distribution Maps of Plant Diseases NA Map 466,
American Samoa,Phytophthora colocasiae,2014,CAB Abstracts,NA,ASM, 2014 Phytophthora colocasiae. [Distribution map]. Distribution Maps of Plant Diseases NA Map 466 (Edition 4),
