species_name,impact_geographic_extent
Phytophthora 'acacia',NA
Phytophthora 'aquatilis',NA
Phytophthora 'castitis',NA
Phytophthora 'emanzi',NA
Phytophthora 'kelmania',NA
Phytophthora 'mekongensis',NA
Phytophthora 'ohioensis',NA
Phytophthora 'paludosa',NA
Phytophthora 'parsley',NA
Phytophthora 'personii',2
Phytophthora 'prodigiosa',NA
Phytophthora 'raspberry',4
Phytophthora 'walnut',1
Phytophthora acerina,1
Phytophthora agathidicida,1
Phytophthora alticola,1
Phytophthora amaranthi,1
Phytophthora amnicola,2
Phytophthora aquimorbida,1
Phytophthora arenaria,1
Phytophthora asiatica,1
Phytophthora asparagi,3
Phytophthora attenuata,1
Phytophthora austrocedri,3
Phytophthora balyanboodja,NA
Phytophthora bilorbang,3
Phytophthora bishii,1
Phytophthora boehmeriae,12
Phytophthora boodjera,1
Phytophthora borealis,1
Phytophthora botryosa,5
Phytophthora brassicae,5
Phytophthora cactorum,65
Phytophthora cajani,1
Phytophthora cambivora,42
Phytophthora capensis,1
Phytophthora capsici,57
Phytophthora captiosa,2
Phytophthora caryae,1
Phytophthora castaneae,3
Phytophthora castanetorum,NA
Phytophthora chlamydospora,8
Phytophthora chrysanthemi,4
Phytophthora cichorii,3
Phytophthora cinnamomi,88
Phytophthora citricola,26
Phytophthora citrophthora,41
Phytophthora clandestina,3
Phytophthora cocois,1
Phytophthora colocasiae,37
Phytophthora condilina,NA
Phytophthora constricta,1
Phytophthora cooljarloo,NA
Phytophthora crassamura,1
Phytophthora cryptogea,43
Phytophthora dauci,2
Phytophthora drechsleri,37
Phytophthora elongata,1
Phytophthora erythroseptica,26
Phytophthora estuarina,1
Phytophthora europaea,5
Phytophthora fallax,5
Phytophthora flexuosa,1
Phytophthora fluvialis,1
Phytophthora foliorum,2
Phytophthora formosa,1
Phytophthora fragariae,33
Phytophthora fragariaefolia,1
Phytophthora frigida,3
Phytophthora gallica,5
Phytophthora gemini,1
Phytophthora gibbosa,1
Phytophthora glovera,1
Phytophthora gonapodyides,21
Phytophthora gondwanensis,1
Phytophthora gregata,5
Phytophthora hedraiandra,11
Phytophthora heveae,11
Phytophthora hibernalis,20
Phytophthora himalsilva,1
Phytophthora humicola,2
Phytophthora hydrogena,1
Phytophthora hydropathica,5
Phytophthora idaei,1
Phytophthora ilicis,6
Phytophthora infestans,132
Phytophthora insolita,6
Phytophthora intercalaris,2
Phytophthora intricata,1
Phytophthora inundata,12
Phytophthora ipomoeae,1
Phytophthora iranica,1
Phytophthora irrigata,1
Phytophthora kernoviae,5
Phytophthora kwongonina,NA
Phytophthora lactucae,1
Phytophthora lacustris,17
Phytophthora lateralis,10
Phytophthora lilii,1
Phytophthora litchii,2
Phytophthora litoralis,1
Phytophthora macilentosa,1
Phytophthora macrochlamydospora,1
Phytophthora meadii,5
Phytophthora medicaginis,15
Phytophthora megakarya,10
Phytophthora megasperma,27
Phytophthora melonis,7
Phytophthora mengei,1
Phytophthora mexicana,2
Phytophthora mirabilis,2
Phytophthora mississippiae,2
Phytophthora morindae,2
Phytophthora moyootj,1
Phytophthora multivesiculata,3
Phytophthora multivora,8
Phytophthora nagaii,1
Phytophthora nemorosa,3
Phytophthora nicotianae,66
Phytophthora niederhauserii,10
Phytophthora obscura,2
Phytophthora occultans,3
Phytophthora ornamentata,1
Phytophthora pachypleura,3
Phytophthora palmivora,54
Phytophthora parsiana,3
Phytophthora parvispora,4
Phytophthora phaseoli,4
Phytophthora pini,5
Phytophthora pinifolia,2
Phytophthora pisi,1
Phytophthora pistaciae,1
Phytophthora plurivora,23
Phytophthora pluvialis,2
Phytophthora polonica,3
Phytophthora porri,12
Phytophthora primulae,7
Phytophthora pseudocryptogea,NA
Phytophthora pseudolactucae,1
Phytophthora pseudopolonica,NA
Phytophthora pseudorosacearum,NA
Phytophthora pseudosyringae,10
Phytophthora pseudotsugae,1
Phytophthora psychrophila,2
Phytophthora quercetorum,1
Phytophthora quercina,18
Phytophthora quininea,1
Phytophthora ramorum,36
Phytophthora rhizophorae,1
Phytophthora richardiae,3
Phytophthora riparia,2
Phytophthora rosacearum,5
Phytophthora rubi,19
Phytophthora sansomeana,4
Phytophthora siskiyouensis,2
Phytophthora sojae,22
Phytophthora stricta,1
Phytophthora syringae,33
Phytophthora tentaculata,7
Phytophthora terminalis,3
Phytophthora thermophila,1
Phytophthora trifolii,1
Phytophthora tropicalis,12
Phytophthora tubulina,NA
Phytophthora tyrrhenica,NA
Phytophthora uliginosa,2
Phytophthora uniformis,8
Phytophthora versiformis,NA
Phytophthora vignae,10
Phytophthora virginiana,1
Phytophthora vulcanica,NA
Phytophthora x alni,20
Phytophthora x andina,2
Phytophthora x heterohybrida,1
Phytophthora x incrassata,1
Phytophthora x multiformis,6
Phytophthora x pelgrandis,3
Phytophthora x serendipita,NA
Phytophthora x stagnum,1
