species_name,root_disease,foliar_disease,disease,disease2,ref,,
Phytophthora 'acacia',NA,NA,,,,,
Phytophthora 'aquatilis',1,1,"pathogenicity tests: pathogenic to rhododendron plants and caused root discoloration, pale leaves, wilting, tip necrosis and dieback",severe foliar blight ,Hong et al. 2012 Mycologia 5: 1097,,
Phytophthora 'castitis',NA,NA,,,,,
Phytophthora 'emanzi',NA,NA,,,,,
Phytophthora 'kelmania',NA,NA,,,,,
Phytophthora 'mekongensis',NA,NA,,,,,
Phytophthora 'ohioensis',NA,NA,Associated with oak forest soil,,,,
Phytophthora 'paludosa',NA,NA,,,,,
Phytophthora 'parsley',NA,NA,,,,,
Phytophthora 'personii',NA,NA,,,,,
Phytophthora 'prodigiosa',NA,NA,,,,,
Phytophthora 'raspberry',NA,NA,,,,,
Phytophthora 'walnut',NA,NA,,,,,
Phytophthora acerina,1,0,"Collar rot, stem bleeding, crown dieback",collar rot and aerial bleeding cankers along the stems,Ginetti et al. 2013,,
Phytophthora agathidicida,1,0,Root and collar rot,"yellowing  of  foliage,  canopy  thinning  and  occasional  tree  death, bleeding lesions on the lower trunk and main roots  ",Weir et al. 2015,,
Phytophthora alticola,1,0,collar and root rot,stem canker,Maseko et al. 2007,,
Phytophthora amaranthi,1,1,"Basal stem rot, root rot and leaf blight",water?soaked lesions on leaves,Ann et al. 2015 ,,
Phytophthora amnicola,1,0,,stem lesions damage to the blackberry roots after flooding (in pathogenicity tests),Aghighi et al. 2015,,
Phytophthora aquimorbida,1,1,,"root discoloration, pale leaves, wilting, tip necrosis and dieback on rhododendron in lab tests",Hong et al. 2012,,
Phytophthora arenaria,1,0,roots and collar rot,,Rea (2011),,
Phytophthora asiatica,0,1,Leaf and stem blight,,,,
Phytophthora asparagi,1,1,Spear and root rot (Saude & Hausbeck 2012) Basal leaf rot (Cunnington et al 2005),,,,
Phytophthora attenuata,1,0,pathogenicity tests: significant root rot but the reductions of fine root weight and shoot weight were not significant,,,,
Phytophthora austrocedri,1,0,"primarily attacks juniper roots, killing phloem and forming lesions which extend up into the lower stem",,,,
Phytophthora balyanboodja,NA,NA,no pathogenicity tests,,,,
Phytophthora bilorbang,1,0,Root rot,,Aghighi et al. 2012 Eur. J. Pl. Pathol. 133: 841-855.,,
Phytophthora bishii,1,0,Root rot  (Abad et al 2008),,,,
Phytophthora boehmeriae,1,1,"Brown rot of citrus fruit and root rot of Pinus species, cotton boll blight, basal rot of Chamaelauciun and gummosis on Acacia mearnsii, foliar blight on Capsicum annuum. (Chowdappa et al 2014 lists sources)          Brown rot of citrus.  Also leaf blight, root rot, cotton boll blight and rot ",,,,
Phytophthora boodjera,1,0,Damping-off disease of seedlings in Eucalypt spp.,"Root necrosis, mortliaty decreases with age",,,
Phytophthora borealis,0,0,"not overtly pathogenic, it has not been associated with disease in adjacent riparian ecosystems (Hansen et al 2012)",,,,
Phytophthora botryosa,0,1,"Leaf fall, pod rot, and black stripe of rubber (Phytophthtora database (Stamps 1985))",,,,
Phytophthora brassicae,0,1,"Storage rot, Antracnose. Brown rot of cabbages in storage (Phytophthora database)",,,,
Phytophthora cactorum,1,1,"Damping off of seedlings, fruit rot, leaf and stem rot, collar and crown rot, stem canker, root rot",,,,
Phytophthora cajani,0,1,Stem rot and blight,,,,
Phytophthora cambivora,1,0,"Canker, crown and root rot (Erwin and Ribeiro)","necrotic lesions have time to appear on the colla, Many lateral roots have to be destroyed before infected trees show aboveground symptoms (CABI datasheet)",,,
Phytophthora capensis,0,0,non-pathogenic in lab tests,,,,
Phytophthora capsici,1,1,"Fruit, stem, and root rot. Also seedling damping-off, leaf wilt."," can infect seedlings, vines, leaves, and fruit",,,
Phytophthora captiosa,0,1,Crown disease,"leaf spots, petiole infection and twig and small branch lesions",Dick et al. 2006,,
Phytophthora caryae,0,0,To date found only in natural waterways,,,,
Phytophthora castaneae,1,0,Trunk rot," attacks trunks, branches, and exposed roots causing necrotic lesions that exude black sap",Forest Phytophthoras,,
Phytophthora castanetorum,1,0,Pathogenic to roots in pathogenicity tests.,,"Jung, T., Jung, M.H., Cacciola, S.O., Cech, T., Bakonyi, J., Seress, D., Mosca, S., Schena, L., Seddaiu, S., Pane, A., di San Lio, G.M., Maia, C., Cravador, A., Franceschini, A., and Scanu, B. 2017. Multiple new cryptic pathogenic Phytophthora species from Fagaceae forests in Austria, Italy and Portugal. IMA Fungus 8(2): 219-244.",,
Phytophthora chlamydospora,1,0,"Root rot, stem cankers, ","fine roots were completely rotted,crown and root lesions",Türkölmez et al. 2016,,
Phytophthora chrysanthemi,1,0,Stem and root rot (Naher et al 2011),roots on these plants were brown and necrosis had spread to the stem base,Gotz et al. 2017,,
Phytophthora cichorii,1,0,Root rot,,,,
