"species","min_lat","max_lat","lat_range"
"Phytophthora 'kelmania'",35.3813488,49.7472,14.3658512
"Phytophthora 'personii'",25.73288704,45.8839523,20.15106526
"Phytophthora 'raspberry'",35.3813488,51.10698181,15.72563301
"Phytophthora 'walnut'",45.08047631,50.1972,5.11672369
"Phytophthora acerina",42.79662849,45.6795472,2.88291871
"Phytophthora agathidicida",36.192,41.81113557,5.61913557
"Phytophthora alticola",27.5167,29.8833,2.3666
"Phytophthora amaranthi",23.7539928,23.7539928,0
"Phytophthora amnicola",25.73288704,52.1007899,26.36790286
"Phytophthora aquimorbida",45.6795472,45.6795472,0
"Phytophthora arenaria",25.73288704,25.73288704,0
"Phytophthora asiatica",36.16,37.59230135,1.43230135
"Phytophthora asparagi",25.73288704,54.12387156,28.39098452
"Phytophthora attenuata",23.7539928,24.5059,0.751907200000002
"Phytophthora austrocedri",32.57503286,57.95405512,25.37902226
"Phytophthora balyanboodja",25.73288704,25.73288704,0
"Phytophthora bilorbang",25.73288704,62.77966519,37.04677815
"Phytophthora bishii",45.6795472,54.12387156,8.44432436
"Phytophthora boehmeriae",6.46416646,39.07469623,32.61052977
"Phytophthora boodjera",25.73288704,25.73288704,0
"Phytophthora borealis",45.6795472,45.6795472,0
"Phytophthora botryosa",2.21505455,22.88578198,20.67072743
"Phytophthora brassicae",23.94753724,52.1007899,28.15325266
"Phytophthora cactorum",0.59988021,68.75015572,68.15027551
"Phytophthora cajani",22.88578198,22.88578198,0
"Phytophthora cambivora",3.78986846,68.75015572,64.96028726
"Phytophthora capensis",29.00034095,29.00034095,0
"Phytophthora capsici",2.21505455,68.75015572,66.53510117
"Phytophthora captiosa",41.81113557,41.81113557,0
"Phytophthora caryae",45.6795472,45.6795472,0
"Phytophthora castaneae",2.5667,37.59230135,35.02560135
"Phytophthora castanetorum",39.59550671,42.79662849,3.20112178
"Phytophthora chlamydospora",23.7539928,57.12995178,33.37595898
"Phytophthora chrysanthemi",35,51.10698181,16.10698181
"Phytophthora cichorii",36.38523983,54.12387156,17.73863173
"Phytophthora cinnamomi",0.58660025,80.50857913,79.92197888
"Phytophthora citricola",6.46416646,62.77966519,56.31549873
"Phytophthora citrophthora",0.59988021,62.77966519,62.17978498
"Phytophthora clandestina",25.73288704,55.98125296,30.24836592
"Phytophthora cocois",7.6284262,45.6795472,38.051121
"Phytophthora colocasiae",1.70555135,45.6795472,43.97399585
"Phytophthora condilina",25.73288704,25.73288704,0
"Phytophthora constricta",25.73288704,25.73288704,0
"Phytophthora cooljarloo",25.73288704,25.73288704,0
"Phytophthora crassamura",41.2,45.6795472,4.4795472
"Phytophthora cryptogea",1.42381613,68.75015572,67.32633959
"Phytophthora dauci",25.73288704,42.17344011,16.44055307
"Phytophthora drechsleri",3.78986846,61.36206324,57.57219478
"Phytophthora elongata",25.73288704,25.73288704,0
"Phytophthora erythroseptica",2.21505455,61.96285909,59.74780454
"Phytophthora estuarina",10.78777702,10.78777702,0
"Phytophthora europaea",38.6008,51.10698181,12.50618181
"Phytophthora fallax",25.73288704,45.6795472,19.94666016
"Phytophthora flexuosa",23.7539928,24.5058,0.751807200000002
"Phytophthora fluvialis",10.78777702,61.36206324,50.57428622
"Phytophthora foliorum",45.6795472,57.52813201,11.84858481
"Phytophthora formosa",23.7539928,24.7649,1.0109072
"Phytophthora fragariae",1.42381613,68.75015572,67.32633959
"Phytophthora fragariaefolia",37.59230135,37.59230135,0
"Phytophthora frigida",10.78777702,29.9667,19.17892298
"Phytophthora gallica",42.17344011,62.77966519,20.60622508
"Phytophthora gemini",42.17344011,62.77966519,20.60622508
"Phytophthora gibbosa",25.73288704,25.73288704,0
"Phytophthora glovera",10.78777702,10.78777702,0
"Phytophthora gonapodyides",32.26,69.6489,37.3889
"Phytophthora gondwanensis",25.73288704,25.73288704,0
"Phytophthora gregata",25.73288704,62.77966519,37.04677815
"Phytophthora hedraiandra",25.73288704,54.12387156,28.39098452
"Phytophthora heveae",2.6167,45.6795472,43.0628472
"Phytophthora hibernalis",2.87746289,56.37425361,53.49679072
"Phytophthora himalsilva",28.24891365,28.24891365,0
"Phytophthora humicola",23.7539928,42.79662849,19.04263569
"Phytophthora hydrogena",45.6795472,45.6795472,0
"Phytophthora hydropathica",23.94753724,47.6,23.65246276
"Phytophthora idaei",54.12387156,54.12387156,0
"Phytophthora ilicis",40.24448698,54.5424246,14.29793762
"Phytophthora infestans",0.59988021,68.75015572,68.15027551
"Phytophthora insolita",10.0078,45.6795472,35.6717472
"Phytophthora intercalaris",36.56176538,45.8839523,9.32218692
"Phytophthora intricata",23.7539928,24.7649,1.0109072
"Phytophthora inundata",22.88578198,68.75015572,45.86437374
"Phytophthora ipomoeae",23.94753724,23.94753724,0
"Phytophthora iranica",32.57503286,32.57503286,0
"Phytophthora irrigata",45.6795472,45.6795472,0
"Phytophthora kernoviae",35.3813488,56.90637525,21.52502645
"Phytophthora kwongonina",25.73288704,25.73288704,0
"Phytophthora lactucae",39.07469623,39.07469623,0
"Phytophthora lacustris",22.88578198,69.5256,46.63981802
"Phytophthora lateralis",23.7539928,61.36206324,37.60807044
"Phytophthora lilii",37.59230135,37.59230135,0
"Phytophthora litchii",6.46416646,36.56176538,30.09759892
"Phytophthora litoralis",25.73288704,25.73288704,0
"Phytophthora macilentosa",45.6795472,45.6795472,0
"Phytophthora macrochlamydospora",25.73288704,25.73288704,0
"Phytophthora meadii",2.21505455,45.6795472,43.46449265
"Phytophthora medicaginis",25.73288704,61.36206324,35.6291762
"Phytophthora megakarya",0.44391445,45.6795472,45.23563275
"Phytophthora megasperma",7.12422421,68.75015572,61.62593151
"Phytophthora melonis",10.78777702,42.79662849,32.00885147
"Phytophthora mengei",45.6795472,45.6795472,0
"Phytophthora mexicana",23.94753724,23.94753724,0
"Phytophthora mirabilis",23.94753724,23.94753724,0
"Phytophthora mississippiae",45.6795472,53.1754487,7.4959015
"Phytophthora morindae",45.6795472,45.6795472,0
"Phytophthora moyootj",1.27469299,61.96285909,60.6881661
"Phytophthora multivesiculata",23.7539928,52.1007899,28.3467971
"Phytophthora multivora",25.73288704,62.77966519,37.04677815
"Phytophthora nagaii",37.59230135,37.59230135,0
"Phytophthora nemorosa",42.0916,54.12387156,12.03227156
"Phytophthora nicotianae",0.83787463,68.75015572,67.91228109
"Phytophthora niederhauserii",23.7539928,68.75015572,44.99616292
"Phytophthora obscura",35.3813488,51.10698181,15.72563301
"Phytophthora occultans",42.183,52.1007899,9.9177899
"Phytophthora ornamentata",41.2,42.79662849,1.59662849
"Phytophthora pachypleura",42.79662849,54.12387156,11.32724307
"Phytophthora palmivora",0.44391445,68.75015572,68.30624127
"Phytophthora parsiana",32.57503286,45.6795472,13.10451434
"Phytophthora parvispora",22.1545,51.10698181,28.95248181
"Phytophthora phaseoli",2.87746289,61.96285909,59.0853962
"Phytophthora pini",22.88578198,64.49884604,41.61306406
"Phytophthora pinifolia",29.00034095,37.73070989,8.73036894
"Phytophthora pisi",62.77966519,62.77966519,0
