"species_name","phylo_clade","years_known","proliferation","caduceus","oospore_wall_index","chlamydospores","hyphal_swelling","root_disease","foliar_disease","oospores","gr_at_opt","temp_opt","temp_min","impact_geographic_extent","impact_host_range","impact_lat_max","n_trials"
"Phytophthora cactorum","1",133,0,1,0.36,1,0,1,1,1,NA,24,2,65,54,68.75015572,178
"Phytophthora clandestina","1",34,0,1,0.32,0,1,1,0,1,1.5,23,5,3,1,55.98125296,178
"Phytophthora hedraiandra","1",15,0,1,0.39,0,1,0,1,1,5.3,22,3,11,2,54.12387156,178
"Phytophthora idaei","1",24,0,0,0.25,0,0,1,0,1,NA,21,5,1,1,54.12387156,178
"Phytophthora infestans","1",143,0,1,0.24,0,0,1,1,1,NA,19,4,132,1,68.75015572,178
"Phytophthora ipomoeae","1",17,0,1,0.29,0,0,0,1,1,10,21,11,1,1,23.94753724,178
"Phytophthora iranica","1",48,0,0,0.46,1,1,1,0,1,NA,27.5,10,1,2,32.57503286,178
"Phytophthora mirabilis","1",34,0,1,0.26,0,0,1,1,1,NA,19,NA,2,1,23.94753724,178
"Phytophthora nicotianae","1",123,0,0,0.33,1,1,1,1,1,6,29.5,5,66,90,68.75015572,178
"Phytophthora phaseoli","1",130,0,1,0.28,0,0,0,1,1,NA,17.5,5,4,1,61.96285909,178
"Phytophthora pseudotsugae","1",36,0,0,0.27,0,1,1,0,1,NA,21,2,1,1,45.6795472,178
"Phytophthora tentaculata","1",26,0,1,0.27,1,1,1,0,1,4,22,7,7,4,54.12387156,178
"Phytophthora x andina","1",9,0,1,0.18,0,0,0,1,1,9,22,5,2,1,23.94753724,178
"Phytophthora x pelgrandis","1",10,0,0,0.21,0,0,1,0,1,7,27,7.5,3,1,51.10698181,178
"Phytophthora x serendipita","1",7,0,1,0.32,0,0,NA,NA,1,5,27,7.5,NA,NA,NA,178
"Phytophthora 'acacia'","2",NA,1,0,0.34,0,0,NA,NA,1,10,25,4,NA,NA,NA,178
"Phytophthora 'aquatilis'","2",7,0,1,0.33,0,0,NA,NA,1,6.8,20,5,NA,NA,NA,178
"Phytophthora 'emanzi'","2",9,0,0,0.4,0,0,NA,NA,1,5,20,7.5,NA,NA,NA,178
"Phytophthora 'mekongensis'","2",2,0,1,NA,0,0,NA,NA,0,8,26,8,NA,NA,NA,178
"Phytophthora acerina","2",5,0,0,0.38,0,1,1,0,1,8,25,7.5,1,1,45.6795472,178
"Phytophthora amaranthi","2",3,0,1,0.26,0,0,1,1,1,6.1,24,8,1,1,23.7539928,178
"Phytophthora bishii","2",11,1,0,0.39,0,1,1,0,1,3,23,10,1,2,54.12387156,178
"Phytophthora botryosa","2",50,0,1,0.28,1,0,0,1,1,NA,26,9,5,4,22.88578198,178
"Phytophthora capensis","2",9,0,0,0.56,0,0,0,0,1,7.8,22.5,7.5,1,3,29.00034095,178
"Phytophthora capsici","2",97,0,1,0.54,1,1,1,1,1,NA,30,6,57,4,68.75015572,178
"Phytophthora caryae","2",3,0,0,0.29,0,1,0,0,1,7.6,25,7.5,1,0,45.6795472,178
"Phytophthora citricola","2",92,0,0,0.36,0,0,1,1,1,6,25,7.5,26,38,62.77966519,178
"Phytophthora citrophthora","2",94,0,0,0.38,1,1,1,1,1,7.5,27,4,41,51,62.77966519,178
"Phytophthora colocasiae","2",119,0,1,0.28,1,1,0,1,1,NA,27,10,37,6,45.6795472,178
"Phytophthora elongata","2",9,1,0,0.42,0,1,1,1,1,6,23,5,1,4,25.73288704,178
"Phytophthora frigida","2",12,0,1,0.32,1,1,1,0,1,8,27.5,7.5,3,3,29.9667,178
"Phytophthora glovera","2",8,0,0,0.7,0,0,1,0,1,5,25,13,1,1,10.78777702,178
"Phytophthora himalsilva","2",8,0,1,0.65,0,0,0,0,1,7,23,NA,1,2,28.24891365,178
"Phytophthora meadii","2",101,0,1,0.7,1,0,0,1,1,NA,27.5,6,5,3,45.6795472,178
"Phytophthora mengei","2",10,0,0,0.51,0,0,1,0,1,7.5,25,8,1,1,45.6795472,178
"Phytophthora mexicana","2",96,0,0,0.42,1,0,0,1,1,NA,27.5,10,2,1,23.94753724,178
"Phytophthora multivesiculata","2",21,1,0,0.45,0,1,0,1,1,5.5,24,7.5,3,1,52.1007899,178
"Phytophthora multivora","2",10,0,0,0.52,0,1,1,0,1,7.5,25,7.5,8,7,62.77966519,178
"Phytophthora occultans","2",4,0,1,0.48,0,0,1,0,1,10,25,11,3,1,52.1007899,178
"Phytophthora pachypleura","2",5,0,0,0.71,0,0,1,0,1,7,25,7.5,3,18,54.12387156,178
"Phytophthora pini","2",94,0,0,0.34,0,1,1,0,1,9.2,25,7.5,5,3,64.49884604,178
"Phytophthora plurivora","2",10,0,0,0.3,0,0,1,1,1,8.5,25,7.5,23,8,68.75015572,178
"Phytophthora siskiyouensis","2",12,0,1,0.33,0,1,1,0,1,7.2,23,4,2,3,54.12387156,178
"Phytophthora terminalis","2",4,0,1,0.21,0,0,1,0,1,7.5,26,11,3,1,54.12387156,178
"Phytophthora tropicalis","2",18,0,1,0.23,1,0,1,1,1,NA,28,10,12,12,54.12387156,178
"Phytophthora ilicis","3",62,0,1,0.2,1,0,0,1,1,3.2,17,5,6,1,54.5424246,178
"Phytophthora nemorosa","3",16,0,1,0.39,0,1,0,1,1,NA,15,3,3,4,54.12387156,178
"Phytophthora pluvialis","3",6,0,1,0.47,0,1,0,1,1,1.4,17,4,2,1,45.6795472,178
"Phytophthora pseudosyringae","3",16,0,1,0.29,0,1,1,1,1,4.6,21,4,10,7,62.77966519,178
"Phytophthora psychrophila","3",17,0,1,0.42,1,0,1,0,1,3.5,17,3,2,2,54.12387156,178
"Phytophthora alticola","4",12,0,0,0.51,0,1,1,0,1,9,25,12,1,1,29.8833,178
"Phytophthora arenaria","4",8,0,0,0.5,0,1,1,0,1,7,29,12,1,3,25.73288704,178
"Phytophthora boodjera","4",4,0,0,0.47,0,1,1,0,1,10,27.5,12,1,3,25.73288704,178
"Phytophthora litchii","4",12,1,0,0.4,0,0,0,1,1,NA,NA,NA,2,NA,36.56176538,178
"Phytophthora megakarya","4",40,0,1,0.45,1,0,1,1,1,NA,24,9,10,2,45.6795472,178
"Phytophthora palmivora","4",100,0,1,0.42,1,1,1,1,1,7,27,11,54,22,68.75015572,178
"Phytophthora quercetorum","4",11,0,0,0.39,1,0,1,0,1,7.3,22,7,1,1,45.6795472,178
"Phytophthora agathidicida","5",4,0,0,0.64,0,1,1,0,1,5.7,21.5,6,1,1,41.81113557,178
